"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0130450911819935,0.0127450320869684,320,1.92797982692719,0,0,8.41102326676335e-11,0.00238023186102509,0.00540013564750552,0.00301990401931107,0.000118926232971717,45957772,799.8837890625,0,231.438980102539,45957540,0.0157015025615692,0.00238707172684371,0.725153744220734,NA,NA,0.00640055583789945,0.00037791597424075,0.000552618061192334,0.00129309855401516,0.0012116179568693,0.00586569495499134,0.635737121105194,0.0188958030194044,0.0179724395275116,0.0323274619877338,0.00346176559105515,0.0167591162025928,1.19819214887684e-05,0.000764795928262174,0.00161029386799783,0.00119819224346429,NA,NA,200,0,0.143953934311867,-163.329025268555,0.0268963314592838,NA,1.63096255251238e-11,3.07907311566092e-38,0,1.40129846432482e-42,1.00000047683716,0.00111011730041355,0.0256569571793079,0.00150214019231498,0.0217958800494671,0,0,0.000905998283997178,0.269119441509247
"2",2,0.0168768242001534,0.0375890880823135,667.959899902344,1.265505194664,0,0,8.41102326676335e-11,0.0124214077368379,0.018952127546072,0.00653071980923414,0.000874240009579808,45060560,799.92431640625,0,190.033050537109,45060368,0.023827813565731,0.00580792548134923,1.5792920589447,NA,NA,0.00773403514176607,0.000737819704227149,0.00175438693258911,0.00380955263972282,0.00398543896153569,0.00580658065155149,1.3663957118988,0.0368909798562527,0.0527893975377083,0.0952387452125549,0.011386969126761,0.0165902208536863,9.00280647329055e-05,0.0038446665275842,0.00187323091086,0.00900280568748713,NA,NA,200,0,0.972418308258057,-132.554595947266,0.0965624302625656,NA,0.355241000652313,0.0177620556205511,0.355241000652313,0.0177620556205511,1.99997925758362,0.00157008902169764,0.0297503881156445,0.00680906791239977,0.0090174563229084,0.000728113809600472,0.000354180694557726,0.00394091382622719,0.643926680088043
"3",3,0.0248360596597195,0.061491347849369,1255.49987792969,1.05386412143707,0,0,8.41102326676335e-11,0.0218126028776169,0.0312637500464916,0.00945114158093929,0.00240914267487824,61941340,799.931518554688,0,204.922424316406,61941124,0.038810733705759,0.0102284420281649,3.6209557056427,NA,NA,0.0141091998666525,0.00127072026953101,0.00268942303955555,0.00615504384040833,0.00862023141235113,0.00596611574292183,3.27643275260925,0.0635360106825829,0.0854354202747345,0.153876066207886,0.024629233404994,0.0170460343360901,0.000252833473496139,0.00767904613167048,0.00229656277224422,0.0252833478152752,NA,NA,200,0,2.25148701667786,-151.990386962891,0.152296110987663,NA,0.615834414958954,0.0307917185127735,0.615834414958954,0.0307917185127735,2.99995803833008,0.00340287061408162,0.0356000401079655,0.0127292405813932,0.01694923825562,0.00282944436185062,0.000624492240604013,0.00620518019422889,0.351999044418335
"4",4,0.0395450256764889,0.10754669457674,2210.65112304688,0.986972153186798,0,0,8.41102326676335e-11,0.036098126322031,0.0524925924837589,0.016394454985857,0.00414416706189513,53766744,799.899291992188,0,187.744720458984,53766544,0.0631232336163521,0.0178699120879173,5.70681381225586,NA,NA,0.0225293301045895,0.00260146195068955,0.00429944926872849,0.0108054056763649,0.0157574154436588,0.00713017210364342,5.09369516372681,0.130073100328445,0.147517293691635,0.270135074853897,0.0450211875140667,0.0203719101846218,0.000495852902531624,0.0143940718844533,0.00297998799942434,0.0495852902531624,NA,NA,200,0,2.52515459060669,-138.297653198242,0.261974513530731,NA,1.01883852481842,0.0509419143199921,1.01883852481842,0.0509419143199921,3.99993681907654,0.00656170584261417,0.0432114638388157,0.0224727876484394,0.029843783006072,0.00636873440816998,0.00114687124732882,0.0106387753039598,0.238916501402855
"5",5,0.0581195205450058,0.160393923521042,4232.9765625,0.865431129932404,0,0,8.41102326676335e-11,0.0503010340034962,0.0736675336956978,0.0233664996922016,0.010438047349453,36167700,799.827026367188,0,188.443252563477,36167500,0.0806119590997696,0.0402441099286079,8.76848030090332,NA,NA,0.0263101533055305,0.00384115125052631,0.00620791129767895,0.0160306859761477,0.0198881458491087,0.0083339111879468,7.87616062164307,0.192057535052299,0.218860894441605,0.400767087936401,0.056823268532753,0.023811174556613,0.00116411689668894,0.0299903601408005,0.00908963475376368,0.116411693394184,NA,NA,200,0,4.80526828765869,-140.030288696289,0.369053542613983,NA,2.20592832565308,0.110296413302422,2.20592832565308,0.110296413302422,5.00000238418579,0.00339325750246644,0.0303183272480965,0.0429353639483452,0.0571451522409916,0.0117156263440847,0.00104962673503906,0.0149824768304825,0.145837590098381
"6",6,0.0927332490682602,0.261697351932526,6697.30126953125,0.875421226024628,0,0,8.41102326676335e-11,0.0803723558783531,0.118984088301659,0.0386116690933704,0.0175178200006485,44653896,799.898498535156,0,219.51936340332,44653668,0.124336041510105,0.0593744777143002,12.5723133087158,NA,NA,0.0393863320350647,0.00808184128254652,0.00910961255431175,0.0262457821518183,0.0307162273675203,0.0107962489128113,11.0408821105957,0.404092103242874,0.352587997913361,0.656144440174103,0.0877606496214867,0.030846418812871,0.0019752886146307,0.0448412969708443,0.0125578893348575,0.197528868913651,NA,NA,200,0,6.56717777252197,-157.822738647461,0.612721085548401,NA,2.98431277275085,0.14921560883522,2.98431253433228,0.14921560883522,6.00006818771362,0.00447286479175091,0.0338604860007763,0.0681690201163292,0.0904135182499886,0.0224930699914694,0.00186084723100066,0.024785814806819,0.119409672915936
"7",7,0.14933854341507,0.409660786390305,11875.302734375,0.823436677455902,0,0,8.41102326676335e-11,0.122212514281273,0.180859312415123,0.0586468689143658,0.0265712793916464,53406636,799.854248046875,0,197.785339355469,53406424,0.18558444082737,0.0937675014138222,19.1812400817871,NA,NA,0.0586252249777317,0.0134536027908325,0.0132157970219851,0.0407593250274658,0.0452817901968956,0.0142487157136202,16.7715148925781,0.672679901123047,0.547975659370422,1.01898276805878,0.129376530647278,0.0407106131315231,0.00317669520154595,0.0715233162045479,0.0190674867480993,0.317669540643692,NA,NA,200,0,10.4114799499512,-148.597839355469,0.936848044395447,NA,6.04946088790894,0.302473068237305,6.04946088790894,0.302473068237305,7.00013399124146,0.00582212302833796,0.0376262627542019,0.12126712501049,0.160316526889801,0.0359957255423069,0.00304057472385466,0.0377960242331028,0.0888786464929581
"8",8,0.257678180932999,0.714876472949982,20102.55078125,0.839952826499939,0,0,8.41102326676335e-11,0.219476491212845,0.323895543813705,0.104419253766537,0.0422437861561775,57688376,799.927734375,0,188.495590209961,57688184,0.304554104804993,0.152030572295189,34.5654373168945,NA,NA,0.0952140763401985,0.0237859040498734,0.0214947778731585,0.0719130039215088,0.0728214606642723,0.0193248558789492,30.3643970489502,1.18929529190063,0.950644016265869,1.79782521724701,0.208061322569847,0.0552138239145279,0.0051003354601562,0.11816493421793,0.0287653096020222,0.510033547878265,NA,NA,200,0,22.1061058044434,-146.936004638672,1.59839642047882,NA,11.2132749557495,0.56066370010376,11.2132759094238,0.56066370010376,8.00019931793213,0.00760579248890281,0.0418712683022022,0.203505218029022,0.271384477615356,0.0650710910558701,0.00512148626148701,0.0643236562609673,0.0712084025144577
"9",9,0.435752391815186,1.19025301933289,35964.6171875,0.814467310905457,0,0,8.41102326676335e-11,0.360085010528564,0.531337738037109,0.171252712607384,0.0699442625045776,61730420,799.927551269531,0,160.691802978516,61730268,0.476154237985611,0.270571172237396,65.8515319824219,NA,NA,0.144184663891792,0.0402470082044601,0.0341822877526283,0.11991923302412,0.111831247806549,0.0257897991687059,58.8708763122559,2.01235103607178,1.57711553573608,2.99798035621643,0.319517821073532,0.0736850872635841,0.00875687133520842,0.211570546030998,0.0502437502145767,0.875687122344971,NA,NA,200,0,42.2160377502441,-133.754013061523,2.62560200691223,NA,19.8530139923096,0.992650747299194,19.8530139923096,0.992650747299194,9.00026512145996,0.00983940623700619,0.0464136302471161,0.362972229719162,0.485522091388702,0.106676384806633,0.00823041331022978,0.105494871735573,0.0531176626682281
"10",10,0.757306814193726,2.07368516921997,62647.33203125,0.816282093524933,0,0,8.41102326676335e-11,0.60271430015564,0.8967005610466,0.293986469507217,0.114792801439762,46195496,799.932250976562,0,157.072509765625,46195336,0.778503000736237,0.456143796443939,106.77596282959,NA,NA,0.226981461048126,0.0709452927112579,0.057290468364954,0.207949638366699,0.181629449129105,0.0337067507207394,94.6749496459961,3.54726624488831,2.73975992202759,5.19874000549316,0.518941223621368,0.0963049754500389,0.0147284949198365,0.361179560422897,0.0802357345819473,1.47284948825836,NA,NA,200,0,56.6079902648926,-129.892517089844,4.56939649581909,NA,32.4899826049805,1.62449967861176,32.4899826049805,1.62449979782104,10.0003309249878,0.0124305812641978,0.0509628131985664,0.635562062263489,0.845738887786865,0.196643695235252,0.0152925653383136,0.183353438973427,0.0398547947406769
